1,8501
1,6499
1,9553
1,8538
1,8188
1,7259
1,5333
1,7806
1,8559
1,1548
1,5581
1,0717
1,3088
1,7034
1,506
1,7198
1,3825
1,0557
1,2837
1,5761
1,5264
1,0302
1,9226
1,6865
1,5843
1,4538
1,8501
1,3041
1,0809
1,6322
1,8447
1,4612
1,5464
1,2336
1,9151
1,0669
1,9908
1,1268
1,2714
1,1255
1,524
1,0473
1,9246
1,5173
1,4435
1,2936
1,1643
1,4141
1,5973
1,1401
1,3496
1,8795
1,3621
1,9656
1,7477
1,8198
1,7272
1,2688
1,2695
1,365
1,8758
1,2292
1,6997
1,2237
1,31
1,0968
1,5253
1,0751
1,7882
1,4391
1,7289
1,2556
1,7842
1,1582
1,0521
1,4791
1,1056
1,4053
1,2429
1,2906
1,2894
1,4359
1,7067
1,9408
1,2825
1,9652
1,0991
1,5808
1,4859
1,0952
1,3396
1,722
1,8572
1,9064
1,2497
1,2947
1,3475
1,7009
1,2073
1,3467
